Casual,Date,Member,Total_rides,apparent_temperature_mean (°C),temperature_2m_mean (°C),weathercode (wmo code),windspeed_10m_max (km/h)
1835,2021-03-07,2456,4291,-2.6,1.5,0,13.8
1183,2021-03-08,2580,3763,-0.6,3.2,1,10.7
2067,2021-03-09,3397,5464,6.7,9.8,1,14.0
2389,2021-03-10,3875,6264,8.5,10.9,1,13.0
2913,2021-03-11,4166,7079,12.7,15.4,2,17.4
2712,2021-03-12,3703,6415,13.6,15.9,3,15.5
4497,2021-03-13,3758,8255,5.2,9.5,1,20.8
3640,2021-03-14,3292,6932,3.8,9.0,1,30.0
1249,2021-03-15,2394,3643,-0.6,4.1,3,21.1
1029,2021-03-16,2430,3459,1.4,5.0,51,14.1
1610,2021-03-17,3019,4629,5.4,7.5,3,8.8
558,2021-03-18,1445,2003,7.0,8.9,63,18.9
1773,2021-03-19,3018,4791,1.4,6.4,53,22.2
4379,2021-03-20,3875,8254,1.7,5.2,0,12.1
4180,2021-03-21,3909,8089,5.0,8.0,0,10.0
2219,2021-03-22,3229,5448,5.9,8.5,0,10.5
2229,2021-03-23,3606,5835,8.8,11.0,3,12.8
522,2021-03-24,1465,1987,12.2,12.7,63,13.1
1894,2021-03-25,3470,5364,15.7,15.5,51,11.3
3982,2021-03-26,4585,8567,18.2,20.0,53,28.2
8232,2021-03-27,5106,13338,13.3,15.0,2,14.1
2028,2021-03-28,2071,4099,13.9,15.5,63,28.5
2994,2021-03-29,3785,6779,5.5,9.8,2,30.6
4805,2021-03-30,4746,9551,8.5,11.4,1,18.3
1138,2021-03-31,2239,3377,14.4,14.8,63,17.9
1824,2021-04-01,2670,4494,2.5,7.2,53,26.4
2539,2021-04-02,2904,5443,-2.5,3.4,3,24.3
7206,2021-04-03,3743,10949,1.3,5.2,0,12.8
7441,2021-04-04,4050,11491,8.2,11.4,2,19.3
3835,2021-04-05,3833,7668,10.8,13.2,3,13.7
3530,2021-04-06,4407,7937,13.8,15.2,51,12.2
3461,2021-04-07,4436,7897,16.5,17.0,2,12.0
3358,2021-04-08,4433,7791,12.7,15.0,51,17.8
2323,2021-04-09,3508,5831,12.3,13.5,61,15.6
6719,2021-04-10,4710,11429,15.5,15.6,3,12.0
5368,2021-04-11,4288,9656,18.6,18.9,61,17.6
1794,2021-04-12,3286,5080,13.8,14.8,51,14.4
2300,2021-04-13,4126,6426,12.0,13.2,51,10.1
932,2021-04-14,2183,3115,12.7,13.2,55,11.2
2683,2021-04-15,4328,7011,11.3,13.6,53,21.7
2443,2021-04-16,3931,6374,6.1,10.3,51,25.4
4909,2021-04-17,4517,9426,7.7,10.4,3,14.3
4727,2021-04-18,4209,8936,9.6,11.6,2,11.0
2070,2021-04-19,3462,5532,10.4,12.1,3,9.8
3157,2021-04-20,4815,7972,13.2,15.3,1,17.7
1643,2021-04-21,3429,5072,8.9,13.1,51,29.6
1535,2021-04-22,3125,4660,1.5,6.9,2,26.1
3024,2021-04-23,4388,7412,6.4,9.6,3,16.3
3672,2021-04-24,4087,7759,9.1,11.4,61,11.5
3365,2021-04-25,3680,7045,10.8,13.2,63,20.7
2283,2021-04-26,3945,6228,8.7,11.9,1,16.3
3065,2021-04-27,4798,7863,17.0,17.8,1,16.8
2712,2021-04-28,4554,7266,23.7,23.2,1,17.4
2346,2021-04-29,4302,6648,23.8,22.7,53,20.4
2475,2021-04-30,3877,6352,12.7,16.8,51,36.7
5551,2021-05-01,4988,10539,8.7,12.8,1,27.0
4989,2021-05-02,4734,9723,17.1,19.3,1,18.7
1952,2021-05-03,3552,5504,20.3,19.9,61,18.6
2144,2021-05-04,3755,5899,24.7,23.0,53,15.5
2244,2021-05-05,4265,6509,20.3,20.0,63,23.7
3082,2021-05-06,4862,7944,11.2,13.8,3,18.9
2159,2021-05-07,3470,5629,11.4,12.7,63,11.9
4228,2021-05-08,4271,8499,8.1,10.7,53,22.8
3448,2021-05-09,3818,7266,10.7,12.9,51,17.2
2693,2021-05-10,4316,7009,12.8,15.2,53,22.1
2752,2021-05-11,4898,7650,11.6,14.1,3,19.4
2933,2021-05-12,4862,7795,10.4,13.1,3,15.6
3494,2021-05-13,5100,8594,12.1,14.3,1,11.1
3984,2021-05-14,5230,9214,13.7,15.2,1,8.9
7273,2021-05-15,5703,12976,15.2,16.6,2,10.4
4458,2021-05-16,4312,8770,14.0,15.2,53,11.8
3254,2021-05-17,4800,8054,16.7,17.2,3,7.9
3404,2021-05-18,5405,8809,18.3,18.8,2,12.0
3541,2021-05-19,5463,9004,21.4,21.4,1,11.1
3512,2021-05-20,5236,8748,22.3,22.8,2,14.8
4739,2021-05-21,5640,10379,21.2,21.3,1,9.4
6750,2021-05-22,5663,12413,23.7,24.3,2,15.5
5314,2021-05-23,4757,10071,26.9,26.8,2,18.6
1486,2021-05-24,2515,4001,20.5,20.2,53,13.6
3373,2021-05-25,5317,8690,20.6,20.0,3,11.3
2584,2021-05-26,4419,7003,28.6,26.5,51,11.8
3595,2021-05-27,5220,8815,25.8,24.9,1,13.0
2977,2021-05-28,3822,6799,22.3,21.8,63,16.8
1574,2021-05-29,2003,3577,10.8,12.5,63,18.2
4061,2021-05-30,2994,7055,9.0,11.1,61,17.0
6482,2021-05-31,4757,11239,15.3,16.0,2,13.9
3145,2021-06-01,4816,7961,18.8,18.8,3,11.3
3289,2021-06-02,5152,8441,20.9,20.5,3,15.5
2774,2021-06-03,4310,7084,24.2,22.1,63,14.3
4061,2021-06-04,5393,9454,26.4,23.5,61,14.0
6287,2021-06-05,5458,11745,26.4,24.9,1,11.9
4469,2021-06-06,4593,9062,28.7,26.5,1,11.6
2852,2021-06-07,4687,7539,31.0,27.3,63,11.9
2905,2021-06-08,5063,7968,31.2,26.7,63,10.0
3142,2021-06-09,5152,8294,29.7,25.3,61,7.7
2002,2021-06-10,3449,5451,29.0,24.8,63,14.4
1552,2021-06-11,2729,4281,21.9,20.3,63,19.8
6967,2021-06-12,6092,13059,22.3,20.5,51,13.0
5627,2021-06-13,4644,10271,24.7,22.6,51,11.3
3534,2021-06-14,4800,8334,27.0,24.3,61,10.2
3924,2021-06-15,5589,9513,23.1,22.2,53,13.6
4008,2021-06-16,5922,9930,20.7,21.4,1,13.6
4396,2021-06-17,5905,10301,19.5,20.4,2,13.1
5873,2021-06-18,5905,11778,22.3,22.4,2,12.8
6754,2021-06-19,5411,12165,27.5,25.2,63,15.0
5469,2021-06-20,4730,10199,30.1,26.6,51,10.8
2934,2021-06-21,4502,7436,31.5,27.4,53,12.1
