Casual,Date,Member,Total_rides,apparent_temperature_mean (°C),temperature_2m_mean (°C),weathercode (wmo code),windspeed_10m_max (km/h)
2623,2022-03-27,3212,5835,-1.7,4.1,3,25.4
1371,2022-03-28,3634,5005,-5.7,0.5,3,30.1
2036,2022-03-29,4609,6645,-3.8,1.2,1,18.6
3017,2022-03-30,5599,8616,3.9,7.3,3,17.2
2573,2022-03-31,5416,7989,15.2,16.9,63,28.6
3529,2022-04-01,5538,9067,6.9,11.2,53,28.9
7788,2022-04-02,5879,13667,4.2,7.5,2,16.4
5426,2022-04-03,4874,10300,6.0,9.9,51,27.1
3481,2022-04-04,5224,8705,4.7,8.0,3,15.4
1450,2022-04-05,3858,5308,8.2,9.9,61,17.9
2517,2022-04-06,5538,8055,10.9,12.1,63,18.7
1162,2022-04-07,3324,4486,8.7,10.5,63,18.4
4452,2022-04-08,6224,10676,8.2,11.0,51,18.9
6200,2022-04-09,5353,11553,6.4,9.0,53,16.4
3880,2022-04-10,4224,8104,2.9,7.6,51,26.0
3880,2022-04-11,5584,9464,7.0,9.6,2,14.7
4913,2022-04-12,6736,11649,15.8,16.4,51,15.0
5316,2022-04-13,7133,12449,20.2,20.0,3,20.0
4382,2022-04-14,6121,10503,19.3,21.0,51,24.5
7063,2022-04-15,6264,13327,11.6,14.6,1,20.4
8601,2022-04-16,5633,14234,15.0,17.8,51,21.1
5607,2022-04-17,4279,9886,7.2,10.7,51,20.8
920,2022-04-18,2565,3485,3.0,6.7,61,21.2
2601,2022-04-19,5580,8181,2.3,7.3,55,27.7
4108,2022-04-20,6731,10839,6.3,9.2,0,13.7
4180,2022-04-21,6571,10751,10.2,12.9,3,17.5
5948,2022-04-22,6967,12915,15.7,16.8,3,14.5
8236,2022-04-23,6666,14902,14.8,16.2,3,14.9
7578,2022-04-24,6082,13660,19.1,18.8,0,17.7
3962,2022-04-25,6378,10340,16.1,16.7,3,16.7
2650,2022-04-26,5616,8266,17.0,16.8,53,12.9
3548,2022-04-27,6703,10251,6.8,11.2,3,24.5
3512,2022-04-28,6386,9898,4.0,8.4,1,20.4
5106,2022-04-29,6395,11501,7.5,10.7,1,15.1
7754,2022-04-30,6259,14013,10.3,12.7,1,14.2
4032,2022-05-01,4355,8387,12.4,13.6,61,12.9
4759,2022-05-02,6582,11341,19.3,18.9,3,8.9
4599,2022-05-03,7210,11809,16.6,17.2,3,18.8
3990,2022-05-04,6853,10843,18.9,18.3,61,10.5
4462,2022-05-05,6781,11243,16.2,16.9,51,13.8
1301,2022-05-06,2867,4168,14.2,14.8,63,20.3
881,2022-05-07,1958,2839,6.7,10.0,61,26.5
3023,2022-05-08,4101,7124,5.5,9.1,3,23.9
3868,2022-05-09,6429,10297,10.1,12.6,0,15.0
4589,2022-05-10,7373,11962,12.2,14.6,0,17.1
4577,2022-05-11,7323,11900,13.8,15.5,3,15.9
4584,2022-05-12,6810,11394,16.7,16.9,3,16.4
4729,2022-05-13,5665,10394,19.1,18.1,61,16.5
6446,2022-05-14,5826,12272,20.3,18.6,53,12.8
6453,2022-05-15,5700,12153,23.1,20.7,51,7.6
3212,2022-05-16,5295,8507,22.1,21.0,53,20.3
4980,2022-05-17,7748,12728,18.4,20.1,1,22.7
4884,2022-05-18,7258,12142,17.1,18.1,3,13.0
4962,2022-05-19,7004,11966,21.7,21.3,63,17.9
5709,2022-05-20,6745,12454,26.7,25.1,3,18.9
7096,2022-05-21,5932,13028,30.0,28.4,1,18.2
5159,2022-05-22,4589,9748,29.7,26.8,61,14.9
4473,2022-05-23,6096,10569,19.7,20.0,51,16.6
3062,2022-05-24,5816,8878,15.3,15.8,55,14.4
4633,2022-05-25,7415,12048,16.0,17.2,3,13.9
4665,2022-05-26,6814,11479,18.5,18.2,3,15.0
3459,2022-05-27,4891,8350,22.5,20.8,61,22.0
8423,2022-05-28,5947,14370,21.4,21.1,55,15.3
9419,2022-05-29,5681,15100,22.8,22.0,3,11.5
6987,2022-05-30,5450,12437,25.5,24.8,1,20.4
4205,2022-05-31,6686,10891,28.9,27.5,1,21.1
4397,2022-06-01,6973,11370,30.3,28.0,2,8.8
3125,2022-06-02,5377,8502,29.0,25.8,63,11.5
6113,2022-06-03,7371,13484,22.5,22.7,1,15.3
8670,2022-06-04,7237,15907,22.5,22.8,1,10.2
7331,2022-06-05,6595,13926,19.7,21.0,1,14.9
5268,2022-06-06,7140,12408,20.9,21.9,1,17.4
3578,2022-06-07,5949,9527,22.4,22.1,55,19.9
4504,2022-06-08,7178,11682,27.1,24.3,61,10.2
5649,2022-06-09,7981,13630,24.8,24.4,51,22.1
6880,2022-06-10,7881,14761,21.2,21.7,3,10.8
7102,2022-06-11,6220,13322,21.3,20.2,61,11.1
6915,2022-06-12,6275,13190,24.8,22.1,61,11.4
4530,2022-06-13,6902,11432,30.6,26.6,51,10.0
4970,2022-06-14,7824,12794,28.7,24.8,65,11.8
5440,2022-06-15,7987,13427,29.0,25.8,3,11.5
5302,2022-06-16,7491,12793,27.9,24.9,63,15.7
5960,2022-06-17,7052,13012,30.8,28.6,51,24.7
9539,2022-06-18,7218,16757,19.4,22.0,3,28.6
8967,2022-06-19,6222,15189,17.1,20.1,1,22.2
7117,2022-06-20,6674,13791,19.3,21.1,2,12.7
5475,2022-06-21,7416,12891,23.9,23.6,2,12.5
3903,2022-06-22,6237,10140,26.4,23.9,63,14.8
4191,2022-06-23,6264,10455,21.5,19.7,63,14.8
7220,2022-06-24,8029,15249,24.6,22.3,51,8.4
8837,2022-06-25,7158,15995,27.0,24.5,2,11.4
6652,2022-06-26,5924,12576,27.8,25.9,51,17.7
4709,2022-06-27,6484,11193,26.4,24.3,63,15.1
5887,2022-06-28,8018,13905,22.4,22.8,1,14.8
5572,2022-06-29,7914,13486,25.3,24.2,2,11.7
5309,2022-06-30,7553,12862,28.9,26.3,2,12.7
5643,2022-07-01,6866,12509,30.7,28.1,51,14.5
6892,2022-07-02,5651,12543,30.9,27.4,63,15.5
9053,2022-07-03,5580,14633,28.9,25.9,53,11.0
12839,2022-07-04,6692,19531,26.6,25.1,1,10.6
5154,2022-07-05,6477,11631,28.8,25.5,65,18.5
5120,2022-07-06,7082,12202,32.2,28.1,51,12.1
5357,2022-07-07,6983,12340,28.9,24.8,61,13.1
5904,2022-07-08,7050,12954,29.2,25.3,51,6.9
3605,2022-07-09,4157,7762,26.2,22.6,65,15.1
7766,2022-07-10,6588,14354,25.6,23.1,3,8.4
5626,2022-07-11,7256,12882,25.2,23.2,3,11.9
3941,2022-07-12,6265,10206,29.0,26.2,55,16.8
5893,2022-07-13,8190,14083,30.0,26.8,2,14.5
6024,2022-07-14,7775,13799,28.8,26.4,51,11.5
6516,2022-07-15,7371,13887,28.3,25.3,1,8.8
7478,2022-07-16,6240,13718,28.5,24.4,63,8.5
7026,2022-07-17,5984,13010,30.0,25.6,51,9.1
4603,2022-07-18,6645,11248,31.1,26.8,61,18.2
5448,2022-07-19,8107,13555,30.4,26.8,2,10.1
5554,2022-07-20,7974,13528,31.4,27.8,1,12.7
4959,2022-07-21,6912,11871,32.9,29.0,55,13.4
5683,2022-07-22,6944,12627,31.3,28.8,1,11.4
6842,2022-07-23,5865,12707,32.6,29.1,1,15.8
5852,2022-07-24,5176,11028,32.9,29.5,2,15.2
3923,2022-07-25,6017,9940,32.6,28.8,65,16.3
4848,2022-07-26,7315,12163,28.4,24.7,51,8.7
5416,2022-07-27,7794,13210,30.5,25.9,61,9.3
5323,2022-07-28,7142,12465,31.6,27.1,55,13.6
4986,2022-07-29,6150,11136,30.2,25.6,61,9.1
8787,2022-07-30,6645,15432,27.7,25.6,2,12.9
5680,2022-07-31,5049,10729,27.8,24.2,61,11.7
5298,2022-08-01,7047,12345,28.5,25.1,53,11.3
5156,2022-08-02,7833,12989,30.6,27.0,51,13.1
5439,2022-08-03,7683,13122,30.1,27.2,3,9.4
3948,2022-08-04,5902,9850,33.0,28.3,55,10.8
4198,2022-08-05,5240,9438,32.2,26.7,63,8.7
8078,2022-08-06,6608,14686,30.4,26.0,51,13.6
6506,2022-08-07,5394,11900,31.9,27.6,55,13.1
4572,2022-08-08,6311,10883,33.1,28.7,51,12.5
4797,2022-08-09,6839,11636,34.2,29.8,2,11.3
2887,2022-08-10,4884,7771,32.7,27.3,65,10.0
5523,2022-08-11,7521,13044,28.0,25.2,63,12.7
6175,2022-08-12,7178,13353,25.0,24.6,51,13.3
8231,2022-08-13,6629,14860,22.0,22.0,1,11.8
6427,2022-08-14,5292,11719,23.5,22.6,53,12.4
4538,2022-08-15,6320,10858,22.7,20.8,61,9.1
5634,2022-08-16,7835,13469,23.1,21.9,51,13.4
5225,2022-08-17,7597,12822,24.5,22.5,51,6.6
5784,2022-08-18,7783,13567,24.2,22.8,0,9.0
5614,2022-08-19,7125,12739,26.6,24.0,51,12.4
7529,2022-08-20,6689,14218,27.9,25.0,2,12.1
4815,2022-08-21,5022,9837,26.7,23.6,63,12.6
3920,2022-08-22,6218,10138,28.3,23.8,63,8.6
5094,2022-08-23,8042,13136,26.3,24.0,1,12.4
5002,2022-08-24,7989,12991,27.3,25.0,1,8.9
4760,2022-08-25,7647,12407,28.7,25.4,51,9.8
5445,2022-08-26,7310,12755,29.7,26.6,51,10.9
7359,2022-08-27,7010,14369,29.3,25.9,51,9.5
5956,2022-08-28,6256,12212,30.4,26.2,51,10.1
3932,2022-08-29,7338,11270,30.5,26.5,51,12.3
3213,2022-08-30,6795,10008,30.3,27.0,51,18.4
4678,2022-08-31,8587,13265,24.8,24.1,3,15.5
4632,2022-09-01,8146,12778,25.4,24.5,0,10.2
5459,2022-09-02,7177,12636,25.1,24.2,3,13.0
7476,2022-09-03,5807,13283,27.6,25.0,51,11.0
7832,2022-09-04,5449,13281,28.4,25.6,51,11.3
5094,2022-09-05,5120,10214,27.5,24.7,55,11.2
3512,2022-09-06,6579,10091,27.4,24.1,65,17.4
3512,2022-09-07,7316,10828,24.1,21.5,61,10.7
4995,2022-09-08,8661,13656,23.9,22.0,51,10.9
5768,2022-09-09,8306,14074,23.2,21.8,2,10.9
8059,2022-09-10,7592,15651,23.2,21.4,3,9.1
3697,2022-09-11,5056,8753,26.3,22.5,61,12.0
3271,2022-09-12,6488,9759,27.9,23.5,63,6.6
4870,2022-09-13,9237,14107,22.9,22.1,51,16.1
5125,2022-09-14,9490,14615,20.4,20.6,2,13.5
5000,2022-09-15,9083,14083,21.7,21.1,1,12.7
5857,2022-09-16,8512,14369,20.5,19.7,0,6.3
8395,2022-09-17,7838,16233,23.1,21.5,3,10.4
6946,2022-09-18,7116,14062,23.2,22.0,2,10.2
4282,2022-09-19,7997,12279,25.2,23.4,2,15.3
5211,2022-09-20,8988,14199,24.3,23.3,0,13.5
4907,2022-09-21,9111,14018,23.5,22.7,1,12.2
4188,2022-09-22,8272,12460,21.2,22.1,53,26.0
5294,2022-09-23,8228,13522,12.4,16.0,2,19.4
7397,2022-09-24,7384,14781,14.2,15.8,1,11.4
5095,2022-09-25,6122,11217,19.5,19.8,51,14.7
4405,2022-09-26,8127,12532,18.7,19.8,2,17.5
4320,2022-09-27,8816,13136,14.9,17.7,3,18.4
4484,2022-09-28,8995,13479,13.1,15.3,3,14.6
4472,2022-09-29,8686,13158,13.4,15.8,1,17.9
3035,2022-09-30,5796,8831,11.8,14.3,63,22.5
2566,2022-10-01,4161,6727,13.4,15.1,65,26.8
1161,2022-10-02,2570,3731,11.9,13.5,61,21.2
1433,2022-10-03,4114,5547,6.7,9.8,61,19.2
1909,2022-10-04,5623,7532,7.2,10.2,61,19.1
2911,2022-10-05,6827,9738,11.4,13.1,61,18.0
4816,2022-10-06,8519,13335,16.2,16.8,0,10.2
5525,2022-10-07,7735,13260,16.9,17.8,51,17.9
6081,2022-10-08,6164,12245,9.4,12.4,51,14.7
5920,2022-10-09,6065,11985,8.2,10.8,0,12.2
4565,2022-10-10,6712,11277,10.2,12.2,0,8.9
3850,2022-10-11,8029,11879,12.7,14.1,0,10.2
4318,2022-10-12,8410,12728,13.8,15.0,3,15.3
2228,2022-10-13,5167,7395,17.6,17.6,63,16.9
4975,2022-10-14,7895,12870,14.1,15.2,3,12.7
7451,2022-10-15,6945,14396,13.5,15.3,0,17.2
5845,2022-10-16,6146,11991,13.8,15.2,51,12.6
3535,2022-10-17,7193,10728,14.9,15.9,53,17.1
3102,2022-10-18,7246,10348,5.6,9.7,2,15.6
3279,2022-10-19,7453,10732,4.3,8.0,3,18.8
3842,2022-10-20,7655,11497,5.4,8.8,0,16.4
4758,2022-10-21,7230,11988,8.7,11.0,0,10.0
7491,2022-10-22,6878,14369,10.8,12.3,1,9.0
4450,2022-10-23,4952,9402,11.2,12.7,61,13.0
3302,2022-10-24,6648,9950,14.2,14.4,51,10.6
3442,2022-10-25,7746,11188,17.2,16.3,51,7.7
3646,2022-10-26,7961,11607,16.4,16.3,51,16.1
4101,2022-10-27,8013,12114,11.0,14.0,3,17.7
4141,2022-10-28,7052,11193,8.4,11.3,2,13.5
6200,2022-10-29,6527,12727,9.6,11.8,3,10.5
5633,2022-10-30,5951,11584,9.1,10.7,2,7.5
1936,2022-10-31,5310,7246,13.5,13.8,63,12.0
3356,2022-11-01,7868,11224,16.4,16.6,61,15.2
3563,2022-11-02,8136,11699,14.4,15.2,2,13.6
4058,2022-11-03,8196,12254,13.2,14.0,1,9.2
4851,2022-11-04,7578,12429,15.9,15.8,3,11.8
7840,2022-11-05,7393,15233,19.6,19.4,2,17.9
5138,2022-11-06,5765,10903,21.0,20.0,61,18.9
3904,2022-11-07,7639,11543,19.6,19.9,1,13.8
3477,2022-11-08,7644,11121,8.1,12.0,1,16.3
3284,2022-11-09,7717,11001,6.8,9.6,1,12.2
4004,2022-11-10,7995,11999,12.3,13.0,3,8.4
2005,2022-11-11,3823,5828,18.4,17.8,61,22.4
7396,2022-11-12,6775,14171,18.0,18.5,53,23.9
3090,2022-11-13,4444,7534,3.4,8.4,51,22.7
2122,2022-11-14,5899,8021,1.9,5.4,1,13.0
1028,2022-11-15,3751,4779,1.4,4.6,63,16.1
2098,2022-11-16,6175,8273,2.8,6.6,61,18.7
1920,2022-11-17,5924,7844,-1.1,4.0,3,23.4
2168,2022-11-18,5552,7720,-1.7,2.6,51,17.7
2811,2022-11-19,4731,7542,-1.1,2.8,1,13.2
1663,2022-11-20,2982,4645,-4.8,0.5,0,22.5
1778,2022-11-21,4744,6522,-2.6,1.8,0,14.5
2230,2022-11-22,5052,7282,0.9,4.6,0,11.6
2732,2022-11-23,4613,7345,2.7,5.9,0,10.1
2302,2022-11-24,2195,4497,3.6,6.5,1,12.4
2241,2022-11-25,2718,4959,5.7,8.8,51,23.2
3727,2022-11-26,3804,7531,4.2,7.6,1,13.1
991,2022-11-27,2175,3166,7.6,10.0,63,17.8
2003,2022-11-28,5664,7667,7.2,10.2,3,21.6
2149,2022-11-29,6507,8656,4.1,7.0,3,13.2
1457,2022-11-30,4872,6329,5.7,9.4,63,27.1
2025,2022-12-01,6106,8131,-1.4,3.5,1,19.0
2459,2022-12-02,5960,8419,-0.4,3.4,2,12.8
3051,2022-12-03,4943,7994,7.8,10.9,61,26.9
2529,2022-12-04,4631,7160,0.6,4.4,1,15.6
1722,2022-12-05,5451,7173,-0.5,2.9,1,10.9
1302,2022-12-06,4297,5599,3.4,5.5,61,11.3
2159,2022-12-07,5916,8075,11.3,11.9,51,11.3
2572,2022-12-08,6673,9245,8.9,10.6,3,12.1
2557,2022-12-09,5987,8544,2.7,6.0,2,10.1
2660,2022-12-10,4753,7413,-0.6,2.8,3,9.2
2298,2022-12-11,4359,6657,3.6,6.0,51,10.5
1615,2022-12-12,4933,6548,0.2,4.0,3,16.0
1925,2022-12-13,5441,7366,-2.5,1.4,1,9.7
2029,2022-12-14,5621,7650,-3.5,0.2,3,8.0
430,2022-12-15,1672,2102,0.8,4.2,63,22.1
2282,2022-12-16,5243,7525,3.0,6.7,61,19.4
2415,2022-12-17,4451,6866,-1.2,2.8,3,16.2
1683,2022-12-18,3306,4989,-3.0,1.6,3,20.8
1233,2022-12-19,3945,5178,-3.9,0.9,1,16.6
1525,2022-12-20,4201,5726,-3.9,0.2,0,11.2
1561,2022-12-21,3907,5468,-3.4,0.1,1,9.6
333,2022-12-22,1271,1604,0.9,4.4,63,23.2
446,2022-12-23,1269,1715,-5.7,0.1,63,33.3
315,2022-12-24,796,1111,-15.2,-9.1,1,24.9
373,2022-12-25,570,943,-9.8,-5.1,0,13.0
609,2022-12-26,1240,1849,-8.2,-3.8,3,8.0
1221,2022-12-27,2292,3513,-4.0,-0.3,2,8.4
1872,2022-12-28,2713,4585,-3.1,0.9,1,11.2
2475,2022-12-29,3151,5626,-0.2,3.1,1,11.4
3056,2022-12-30,3765,6821,3.7,6.4,1,13.0
1481,2022-12-31,2157,3638,9.3,10.5,63,12.0
3573,2023-01-01,3214,6787,8.4,10.5,1,14.7
3433,2023-01-02,3807,7240,9.1,10.7,2,11.3
2635,2023-01-03,4924,7559,13.1,14.2,53,20.3
2488,2023-01-04,5303,7791,15.8,16.0,55,21.0
2954,2023-01-05,5455,8409,11.4,12.6,51,13.0
2119,2023-01-06,4600,6719,3.3,6.8,51,20.3
2862,2023-01-07,4260,7122,-0.3,3.7,3,14.8
1818,2023-01-08,3358,5176,-1.1,2.4,53,11.8
1754,2023-01-09,4766,6520,0.1,4.0,71,16.7
1863,2023-01-10,5440,7303,-0.8,2.7,2,14.0
1832,2023-01-11,5323,7155,-0.1,3.1,55,11.0
1746,2023-01-12,4909,6655,5.6,7.9,53,15.5
1925,2023-01-13,4565,6490,4.9,8.9,63,23.9
1502,2023-01-14,3368,4870,-3.5,2.3,3,24.6
1949,2023-01-15,3359,5308,-3.9,1.6,1,22.7
2291,2023-01-16,4130,6421,-1.7,2.9,1,13.9
1295,2023-01-17,4622,5917,2.0,4.7,55,10.2
2057,2023-01-18,6129,8186,4.8,7.9,51,17.4
1320,2023-01-19,4536,5856,4.7,6.8,61,12.6
2072,2023-01-20,5322,7394,2.9,7.2,3,24.0
2339,2023-01-21,4622,6961,-0.1,4.0,3,16.0
1289,2023-01-22,2712,4001,-0.8,2.6,61,13.0
1219,2023-01-23,4503,5722,0.5,4.7,53,24.5
1801,2023-01-24,5964,7765,-0.6,3.2,2,13.0
847,2023-01-25,3579,4426,0.6,4.0,71,20.3
1790,2023-01-26,5756,7546,1.6,6.1,61,26.0
1753,2023-01-27,5061,6814,-2.1,2.2,3,15.4
3611,2023-01-28,5101,8712,1.3,5.4,2,14.8
1513,2023-01-29,3257,4770,2.3,5.7,53,15.3
1971,2023-01-30,5715,7686,6.1,7.9,3,9.4
941,2023-01-31,3855,4796,2.3,5.0,53,13.7
1477,2023-02-01,5409,6886,-2.1,1.8,73,13.1
1477,2023-02-02,5312,6789,-1.8,2.0,3,11.4
965,2023-02-03,3695,4660,-7.1,-0.7,3,29.1
1177,2023-02-04,2838,4015,-9.6,-4.1,1,22.4
2244,2023-02-05,4168,6412,-1.2,3.7,3,16.7
1484,2023-02-06,5227,6711,2.5,6.6,3,21.4
1732,2023-02-07,5959,7691,0.7,4.1,3,14.1
2551,2023-02-08,7043,9594,7.3,9.9,2,14.0
2505,2023-02-09,6799,9304,8.9,11.5,3,21.2
2944,2023-02-10,6265,9209,9.4,12.8,1,21.3
3264,2023-02-11,5007,8271,1.9,5.9,1,19.5
656,2023-02-12,1713,2369,0.1,3.6,61,19.7
1910,2023-02-13,5758,7668,2.9,7.4,61,19.1
2444,2023-02-14,6774,9218,3.9,7.3,2,12.5
2480,2023-02-15,6848,9328,8.7,12.4,53,20.8
1674,2023-02-16,5265,6939,12.0,12.7,61,15.5
1379,2023-02-17,3647,5026,8.3,11.6,63,26.6
2871,2023-02-18,4135,7006,-2.2,2.5,1,21.1
4266,2023-02-19,4452,8718,3.3,7.4,3,20.3
2921,2023-02-20,4729,7650,8.4,11.1,2,17.8
2542,2023-02-21,6232,8774,8.3,10.9,53,25.1
1966,2023-02-22,5934,7900,4.1,7.4,51,13.1
4019,2023-02-23,7608,11627,16.4,16.8,51,17.3
2669,2023-02-24,5599,8268,6.6,11.0,1,22.2
1542,2023-02-25,3514,5056,-0.8,2.7,71,12.6
3186,2023-02-26,4742,7928,3.7,6.9,3,14.8
1274,2023-02-27,4430,5704,1.8,5.4,61,16.8
2328,2023-02-28,6542,8870,6.2,8.4,61,15.4
2472,2023-03-01,6738,9210,5.2,8.0,2,17.8
2443,2023-03-02,6753,9196,10.7,12.6,61,16.5
940,2023-03-03,3437,4377,3.1,6.7,61,23.3
3874,2023-03-04,5390,9264,6.6,10.6,61,28.5
4733,2023-03-05,5721,10454,5.7,9.0,1,22.0
2649,2023-03-06,6004,8653,4.9,7.7,1,11.3
2139,2023-03-07,6104,8243,1.9,6.7,51,27.3
2274,2023-03-08,6432,8706,0.1,5.2,0,23.5
2948,2023-03-09,6528,9476,2.4,6.0,0,13.6
1302,2023-03-10,3754,5056,2.4,5.4,55,14.4
2877,2023-03-11,4509,7386,-0.5,4.8,3,28.3
1911,2023-03-12,3199,5110,-0.6,2.6,71,8.0
1827,2023-03-13,4870,6697,2.5,5.3,51,16.1
1509,2023-03-14,4847,6356,-3.9,2.9,3,34.5
1832,2023-03-15,5264,7096,-2.4,3.9,0,27.6
3811,2023-03-16,6573,10384,3.5,7.6,3,14.4
3338,2023-03-17,5764,9102,8.4,11.5,51,18.9
6043,2023-03-18,5965,12008,2.9,7.6,3,21.0
2214,2023-03-19,3683,5897,-3.5,2.1,1,22.0
2688,2023-03-20,5874,8562,-0.4,3.3,0,9.9
3764,2023-03-21,7493,11257,3.7,7.0,2,12.5
4485,2023-03-22,8310,12795,7.5,11.0,3,15.9
5607,2023-03-23,8781,14388,14.0,15.5,53,20.6
1556,2023-03-24,3738,5294,10.4,11.6,63,11.2
3163,2023-03-25,4374,7537,8.6,10.2,61,14.0
11020,2023-03-26,7650,18670,9.7,12.6,0,16.6
3780,2023-03-27,6799,10579,9.9,11.3,53,12.8
4262,2023-03-28,8040,12302,6.8,10.0,3,15.3
4431,2023-03-29,8324,12755,6.2,9.1,3,13.6
4022,2023-03-30,7662,11684,3.1,6.8,0,18.2
4759,2023-03-31,7177,11936,7.7,10.7,53,22.2
5830,2023-04-01,5550,11380,15.0,17.8,61,32.4
6519,2023-04-02,6397,12916,4.7,8.9,1,25.0
5103,2023-04-03,7631,12734,9.4,11.9,2,19.0
6335,2023-04-04,8969,15304,17.2,17.8,1,14.0
6247,2023-04-05,8866,15113,21.8,21.4,2,20.1
4688,2023-04-06,7755,12443,22.8,21.9,63,17.1
4703,2023-04-07,6677,11380,8.5,11.9,51,14.5
6457,2023-04-08,6505,12962,5.0,8.8,1,14.5
6062,2023-04-09,5848,11910,6.8,9.3,1,10.4
4541,2023-04-10,7622,12163,7.9,10.3,0,12.1
5111,2023-04-11,9216,14327,11.7,14.1,1,13.3
5623,2023-04-12,9635,15258,16.8,19.2,3,17.3
5982,2023-04-13,9629,15611,19.5,20.8,0,12.2
6272,2023-04-14,8565,14837,19.2,19.9,3,14.4
8082,2023-04-15,7203,15285,21.2,19.3,61,10.2
7669,2023-04-16,7137,14806,21.2,20.8,3,14.9
4117,2023-04-17,7466,11583,13.6,16.6,51,22.2
4810,2023-04-18,8927,13737,10.6,14.4,1,23.8
5200,2023-04-19,9038,14238,12.4,14.5,0,12.3
5671,2023-04-20,9276,14947,18.8,18.7,1,11.3
6834,2023-04-21,8589,15423,21.6,22.3,1,15.8
4704,2023-04-22,5459,10163,16.9,18.4,63,22.6
6581,2023-04-23,7110,13691,10.9,13.6,51,18.0
4107,2023-04-24,7915,12022,7.2,10.7,2,14.6
4316,2023-04-25,9158,13474,7.4,10.3,3,10.7
4248,2023-04-26,8987,13235,11.2,12.7,53,13.8
5032,2023-04-27,8947,13979,13.8,14.7,51,14.8
705,2023-04-28,2122,2827,10.5,12.6,63,25.8
7853,2023-04-29,7812,15665,14.6,14.9,51,14.5
2228,2023-04-30,3602,5830,14.7,15.2,63,26.3
3624,2023-05-01,8064,11688,8.7,12.6,55,24.7
3133,2023-05-02,7690,10823,7.6,10.8,53,18.3
3440,2023-05-03,8080,11520,7.0,9.8,55,21.0
4246,2023-05-04,8787,13033,8.4,10.9,51,14.7
5591,2023-05-05,8796,14387,11.2,12.9,51,8.7
8502,2023-05-06,8230,16732,14.2,14.9,1,10.4
5569,2023-05-07,6382,11951,17.4,17.1,55,9.5
4714,2023-05-08,8150,12864,20.8,20.2,51,15.3
3954,2023-05-09,8575,12529,16.0,16.5,51,10.0
5578,2023-05-10,9931,15509,14.8,15.7,0,10.5
5624,2023-05-11,9811,15435,18.7,18.5,1,8.8
6427,2023-05-12,9136,15563,23.1,21.4,1,8.2
4594,2023-05-13,5807,10401,21.2,19.6,63,10.9
7681,2023-05-14,7430,15111,17.8,18.7,1,12.6
5119,2023-05-15,8427,13546,16.0,17.6,2,13.4
4530,2023-05-16,9018,13548,19.4,19.4,51,15.0
5499,2023-05-17,9679,15178,16.7,18.3,51,16.4
5548,2023-05-18,9437,14985,13.2,15.3,3,13.0
6922,2023-05-19,9241,16163,16.2,17.3,51,17.3
7822,2023-05-20,7394,15216,20.2,19.4,53,14.3
7814,2023-05-21,7157,14971,18.3,19.3,51,16.3
5467,2023-05-22,8309,13776,19.4,20.0,2,12.8
5587,2023-05-23,9505,15092,18.2,18.7,2,13.7
5429,2023-05-24,9758,15187,19.3,19.5,1,9.9
5642,2023-05-25,9144,14786,15.6,17.6,1,19.4
6747,2023-05-26,8319,15066,16.8,17.7,1,10.1
8764,2023-05-27,7165,15929,16.7,18.2,1,13.5
7856,2023-05-28,5968,13824,17.0,17.9,53,13.8
3687,2023-05-29,4106,7793,20.7,19.5,61,13.3
4717,2023-05-30,9134,13851,18.2,18.8,51,15.0
5281,2023-05-31,10214,15495,17.8,18.5,1,10.2
5428,2023-06-01,10079,15507,21.5,21.1,3,8.7
6059,2023-06-02,9072,15131,25.4,24.7,1,10.4
8196,2023-06-03,8566,16762,23.8,23.5,53,17.5
7085,2023-06-04,7969,15054,17.6,18.6,51,13.4
5006,2023-06-05,8639,13645,19.5,20.4,3,14.4
5349,2023-06-06,9940,15289,19.5,21.8,2,21.3
4847,2023-06-07,9344,14191,20.3,21.6,1,13.9
3942,2023-06-08,7634,11576,19.3,20.7,1,11.9
5662,2023-06-09,8815,14477,18.2,19.5,53,17.1
8933,2023-06-10,8735,17668,21.2,22.3,2,13.4
7462,2023-06-11,7937,15399,24.5,24.9,3,15.7
3803,2023-06-12,7608,11411,23.4,22.7,63,16.7
5469,2023-06-13,10277,15746,19.7,20.9,3,14.0
5778,2023-06-14,10363,16141,19.0,20.9,51,23.2
5962,2023-06-15,10657,16619,21.3,21.7,1,10.5
5849,2023-06-16,8860,14709,23.8,22.6,61,13.5
8689,2023-06-17,8217,16906,20.8,22.1,2,19.7
7691,2023-06-18,7496,15187,22.8,23.4,0,12.4
6483,2023-06-19,7859,14342,25.8,24.5,51,14.0
5564,2023-06-20,9932,15496,23.9,22.9,51,19.5
1840,2023-06-21,4849,6689,17.9,18.5,55,24.2
3825,2023-06-22,8446,12271,17.9,18.1,53,17.9
3112,2023-06-23,6279,9391,24.6,21.5,63,14.9
8149,2023-06-24,8664,16813,27.6,23.7,63,7.6
7551,2023-06-25,8131,15682,28.0,25.2,2,10.1
4602,2023-06-26,8373,12975,28.8,25.3,63,10.7
4305,2023-06-27,8542,12847,26.9,23.7,63,14.4
5691,2023-06-28,10150,15841,23.6,22.8,3,16.0
5009,2023-06-29,8807,13816,25.2,23.6,1,9.2
4988,2023-06-30,8101,13089,26.5,23.6,65,10.6
6335,2023-07-01,6702,13037,24.3,26.9,0,18.2
6676,2023-07-02,6752,13428,26.6,29.2,1,11.5
